gene	n_ss_samples_with_upoutlier	pct_ss_samples_with_upoutlier	list_of_samples
FZD1	23	63.888888888888886	TCGA-DX-AB3B-01, TCGA-MJ-A850-01, TCGA-X6-A8C7-01, TCGA-FX-A8OO-01, TCGA-WK-A8XT-01, TH03_0112_S01, TH03_0112_S02, THR39_1361_S01, THR39_1363_S01, THR39_1364_S01, THR39_1365_S01, THR39_1366_S01, THR39_1367_S01, THR39_1370_S01, THR39_1371_S01, THR39_1373_S01, THR39_1375_S01, THR39_1376_S01, THR31_1386_S01, THR31_1392_S01, THR39_1368_S01, THR39_1372_S01, THR39_1374_S01
FZD10	8	22.22222222222222	TCGA-WK-A8XT-01, TCGA-Z4-AAPF-01, THR39_1362_S01, THR39_1377_S01, THR31_1386_S01, THR31_1393_S01, THR39_1368_S01, THR39_1372_S01
FZD8	4	11.11111111111111	TCGA-DX-AB3B-01, TCGA-X6-A8C7-01, THR39_1366_S01, TH27_0976_S01
GALNT9	6	16.666666666666664	TCGA-Z4-AAPF-01, TH03_0112_S01, THR39_1360_S01, THR39_1362_S01, THR39_1372_S01, TCGA-DX-A7EQ-01
GATA6	8	22.22222222222222	TCGA-DX-AB3B-01, TCGA-X6-A8C7-01, THR39_1361_S01, THR39_1366_S01, THR39_1367_S01, THR39_1375_S01, THR31_1386_S01, THR39_1369_S01
GDI1	4	11.11111111111111	THR39_1364_S01, THR31_1386_S01, THR39_1368_S01, THR39_1372_S01
GFRA1	19	52.77777777777778	TCGA-DX-AB3B-01, TCGA-DX-A7ER-01, TCGA-DX-AB3C-01, TCGA-FX-A8OO-01, TCGA-WK-A8XT-01, TH03_0112_S02, THR39_1360_S01, THR39_1361_S01, THR39_1365_S01, THR39_1366_S01, THR39_1367_S01, THR39_1375_S01, THR39_1377_S01, THR31_1386_S01, THR31_1392_S01, THR31_1393_S01, TH03_0156_S01, TH27_0976_S01, THR39_1369_S01
GLI1	12	33.33333333333333	TH03_0112_S02, THR39_1362_S01, THR39_1363_S01, THR39_1365_S01, THR39_1370_S01, THR39_1371_S01, THR39_1373_S01, THR39_1377_S01, THR31_1393_S01, TH27_0976_S01, THR39_1369_S01, THR39_1372_S01
GLT8D2	26	72.22222222222221	TCGA-DX-AB3B-01, TCGA-X6-A8C7-01, TCGA-WK-A8XT-01, TCGA-Z4-AAPF-01, TH03_0112_S01, TH03_0112_S02, THR39_1360_S01, THR39_1361_S01, THR39_1363_S01, THR39_1364_S01, THR39_1365_S01, THR39_1366_S01, THR39_1367_S01, THR39_1370_S01, THR39_1371_S01, THR39_1373_S01, THR39_1375_S01, THR39_1376_S01, THR39_1377_S01, THR31_1386_S01, THR31_1392_S01, TH27_0976_S01, THR39_1368_S01, THR39_1369_S01, THR39_1372_S01, THR39_1374_S01
GP1BB	4	11.11111111111111	TCGA-DX-A7ER-01, THR31_1386_S01, THR39_1378_S01, TCGA-DX-A7EQ-01
GPR162	15	41.66666666666667	TCGA-DX-A7ER-01, TCGA-DX-AB3C-01, TCGA-Z4-AAPF-01, TH03_0112_S01, TH03_0112_S02, THR39_1360_S01, THR39_1362_S01, THR39_1364_S01, THR39_1371_S01, THR39_1373_S01, THR39_1376_S01, TH27_0976_S01, THR39_1368_S01, THR39_1372_S01, TCGA-DX-A7EQ-01
GPRASP2	5	13.88888888888889	THR39_1364_S01, THR39_1367_S01, THR39_1371_S01, THR39_1369_S01, THR39_1372_S01
GRK5	7	19.444444444444446	TCGA-X6-A8C7-01, TH03_0112_S02, THR39_1363_S01, THR39_1364_S01, THR39_1376_S01, TH03_0156_S01, THR39_1369_S01
HAND2	4	11.11111111111111	THR39_1361_S01, THR39_1362_S01, THR39_1377_S01, TH27_0976_S01
HAUS7	6	16.666666666666664	THR39_1366_S01, THR39_1375_S01, THR39_1376_S01, THR39_1372_S01, THR39_1378_S01, TCGA-DX-A7EQ-01
HHIP	4	11.11111111111111	TCGA-DX-A7EO-01, TH03_0112_S01, THR31_1392_S01, THR39_1368_S01
HLX	4	11.11111111111111	TCGA-DX-A7ER-01, TH03_0112_S01, THR39_1361_S01, TH27_0976_S01
HMGCLL1	7	19.444444444444446	TCGA-WK-A8XT-01, THR39_1366_S01, THR39_1367_S01, THR31_1386_S01, THR31_1392_S01, THR39_1368_S01, THR39_1378_S01
HMX1	5	13.88888888888889	TH03_0112_S01, TH03_0112_S02, THR31_1386_S01, THR39_1378_S01, TCGA-DX-A7EQ-01
HNRNPA1	7	19.444444444444446	TCGA-FX-A8OO-01, TCGA-WK-A8XT-01, THR39_1363_S01, THR39_1370_S01, THR31_1392_S01, THR39_1368_S01, THR39_1374_S01
HOTAIR	5	13.88888888888889	THR39_1361_S01, THR39_1362_S01, THR39_1377_S01, THR31_1386_S01, TH27_0976_S01
HOXC12	5	13.88888888888889	THR39_1361_S01, THR39_1362_S01, THR39_1377_S01, THR31_1386_S01, TH27_0976_S01
HOXD10	6	16.666666666666664	THR39_1363_S01, THR39_1364_S01, THR39_1370_S01, THR39_1376_S01, TH03_0156_S01, THR39_1374_S01
HOXD11	5	13.88888888888889	TCGA-X6-A8C7-01, THR39_1363_S01, THR39_1364_S01, THR39_1376_S01, THR39_1374_S01
HOXD12	4	11.11111111111111	TCGA-X6-A8C7-01, THR39_1364_S01, TH03_0156_S01, THR39_1374_S01
HOXD9	4	11.11111111111111	THR39_1363_S01, THR39_1364_S01, THR39_1376_S01, THR39_1374_S01
ICAM5	8	22.22222222222222	THR39_1360_S01, THR39_1361_S01, THR39_1366_S01, THR39_1370_S01, THR39_1376_S01, THR31_1386_S01, THR31_1393_S01, THR39_1369_S01
IDH3G	4	11.11111111111111	TCGA-X6-A8C7-01, TCGA-FX-A8OO-01, THR39_1364_S01, THR31_1386_S01
IGF2	5	13.88888888888889	TCGA-FX-A8OO-01, THR39_1362_S01, THR39_1377_S01, TH03_0156_S01, THR39_1372_S01
IGSF21	6	16.666666666666664	TCGA-DX-AB3C-01, TCGA-FX-A8OO-01, TH03_0112_S01, TH03_0112_S02, THR31_1392_S01, THR31_1393_S01
IL17RD	4	11.11111111111111	TCGA-X6-A8C7-01, THR39_1361_S01, THR39_1367_S01, THR39_1375_S01
ISM1	5	13.88888888888889	TCGA-DX-AB3B-01, TCGA-DX-AB3C-01, TH03_0112_S01, THR39_1360_S01, THR39_1364_S01
JPH4	7	19.444444444444446	THR39_1363_S01, THR39_1366_S01, THR39_1367_S01, THR39_1376_S01, TH27_0976_S01, THR39_1368_S01, THR39_1378_S01
KAZALD1	6	16.666666666666664	TCGA-X6-A8C7-01, TCGA-Z4-AAPF-01, TH03_0156_S01, TH27_0976_S01, THR39_1368_S01, THR39_1369_S01
KCNIP1	8	22.22222222222222	TCGA-FX-A8OO-01, TCGA-WK-A8XT-01, TH03_0112_S01, THR39_1364_S01, THR39_1373_S01, THR39_1376_S01, THR31_1392_S01, THR39_1368_S01
KCNQ2	14	38.88888888888889	TCGA-MJ-A850-01, TCGA-DX-A7ER-01, TCGA-WK-A8XT-01, TCGA-Z4-AAPF-01, TH03_0112_S01, TH03_0112_S02, THR39_1362_S01, THR39_1371_S01, THR31_1386_S01, THR39_1368_S01, THR39_1369_S01, THR39_1372_S01, THR39_1378_S01, TCGA-DX-A7EQ-01
KDELC2	6	16.666666666666664	THR39_1361_S01, THR39_1363_S01, THR39_1364_S01, THR39_1375_S01, THR39_1368_S01, THR39_1374_S01
KERA	5	13.88888888888889	TCGA-WK-A8XT-01, THR39_1373_S01, THR39_1376_S01, TH03_0156_S01, THR39_1374_S01
KIF26B	7	19.444444444444446	TCGA-WK-A8XT-01, THR39_1361_S01, THR39_1366_S01, THR39_1367_S01, THR39_1373_S01, THR31_1386_S01, THR31_1392_S01
KRT14	4	11.11111111111111	TCGA-MJ-A850-01, THR39_1365_S01, THR39_1375_S01, THR39_1377_S01
LGR6	7	19.444444444444446	TCGA-FX-A8OO-01, THR39_1365_S01, THR39_1366_S01, THR39_1367_S01, THR39_1373_S01, THR39_1377_S01, TH03_0156_S01
LINC00982	7	19.444444444444446	TCGA-DX-AB3B-01, THR39_1362_S01, TH27_0976_S01, THR39_1368_S01, THR39_1369_S01, THR39_1378_S01, TCGA-DX-A7EQ-01
LRRC4B	8	22.22222222222222	TCGA-DX-A7ER-01, TCGA-WK-A8XT-01, TH03_0112_S01, TH03_0112_S02, THR39_1360_S01, THR31_1386_S01, THR39_1368_S01, THR39_1372_S01
LTBP4	8	22.22222222222222	TCGA-X6-A8C7-01, TCGA-DX-AB3C-01, TH03_0112_S01, THR39_1361_S01, THR39_1377_S01, THR31_1386_S01, THR39_1368_S01, THR39_1369_S01
LY6H	5	13.88888888888889	TCGA-DX-A7ER-01, TH03_0112_S01, THR39_1362_S01, THR39_1372_S01, TCGA-DX-A7EQ-01
MAB21L1	5	13.88888888888889	TCGA-WK-A8XT-01, THR39_1363_S01, THR39_1364_S01, TH03_0156_S01, THR39_1374_S01
MAFA	4	11.11111111111111	TH03_0112_S01, TH03_0112_S02, THR31_1386_S01, TCGA-DX-A7EQ-01
MAGEA4	9	25	TCGA-DX-AB3B-01, TCGA-MJ-A850-01, THR31_1386_S01, THR31_1393_S01, TH03_0156_S01, THR39_1368_S01, THR39_1369_S01, THR39_1372_S01, THR39_1378_S01
MAP3K12	5	13.88888888888889	THR39_1371_S01, THR39_1373_S01, TH03_0156_S01, TH27_0976_S01, THR39_1372_S01
MBTPS1	5	13.88888888888889	TCGA-X6-A8C7-01, THR39_1360_S01, THR39_1375_S01, THR39_1368_S01, THR39_1369_S01
MCTP2	10	27.77777777777778	THR39_1363_S01, THR39_1364_S01, THR39_1366_S01, THR39_1370_S01, THR39_1373_S01, THR39_1376_S01, THR31_1392_S01, THR31_1393_S01, TH03_0156_S01, THR39_1374_S01
MEG3	25	69.44444444444444	TCGA-DX-AB3B-01, TCGA-MJ-A850-01, TCGA-X6-A8C7-01, TCGA-DX-A7EO-01, TCGA-DX-A7ER-01, TCGA-DX-AB3C-01, TCGA-FX-A8OO-01, THR39_1362_S01, THR39_1364_S01, THR39_1365_S01, THR39_1366_S01, THR39_1370_S01, THR39_1371_S01, THR39_1373_S01, THR39_1375_S01, THR39_1376_S01, THR39_1377_S01, THR31_1386_S01, THR31_1393_S01, TH03_0156_S01, THR39_1368_S01, THR39_1369_S01, THR39_1372_S01, THR39_1378_S01, TCGA-DX-A7EQ-01
MEGF6	13	36.11111111111111	TCGA-DX-AB3B-01, TH03_0112_S01, TH03_0112_S02, THR39_1362_S01, THR39_1365_S01, THR39_1371_S01, THR39_1373_S01, THR39_1375_S01, THR39_1376_S01, THR39_1377_S01, TH03_0156_S01, THR39_1369_S01, THR39_1372_S01
MEOX1	4	11.11111111111111	TCGA-MJ-A850-01, TCGA-DX-A7EO-01, TCGA-DX-A7ER-01, TH27_0976_S01
MEOX2	30	83.33333333333334	TCGA-DX-AB3B-01, TCGA-MJ-A850-01, TCGA-DX-A7EO-01, TCGA-DX-A7ER-01, TCGA-DX-AB3C-01, TCGA-FX-A8OO-01, TCGA-WK-A8XT-01, TCGA-Z4-AAPF-01, TH03_0112_S01, TH03_0112_S02, THR39_1360_S01, THR39_1361_S01, THR39_1363_S01, THR39_1364_S01, THR39_1366_S01, THR39_1367_S01, THR39_1370_S01, THR39_1371_S01, THR39_1373_S01, THR39_1375_S01, THR39_1376_S01, THR31_1386_S01, THR31_1392_S01, THR31_1393_S01, TH03_0156_S01, TH27_0976_S01, THR39_1368_S01, THR39_1372_S01, THR39_1374_S01, THR39_1378_S01
MEX3B	4	11.11111111111111	THR39_1360_S01, THR39_1363_S01, THR39_1364_S01, TH03_0156_S01
MIA	5	13.88888888888889	TCGA-MJ-A850-01, TCGA-DX-A7EO-01, THR39_1371_S01, THR31_1386_S01, TCGA-DX-A7EQ-01
MIAT	4	11.11111111111111	THR39_1362_S01, THR39_1366_S01, THR39_1377_S01, THR39_1374_S01
MID1	4	11.11111111111111	THR39_1367_S01, THR31_1386_S01, THR31_1392_S01, THR39_1368_S01
MLLT3	7	19.444444444444446	TCGA-X6-A8C7-01, TH03_0112_S01, THR39_1363_S01, THR39_1366_S01, THR39_1367_S01, THR31_1386_S01, TH27_0976_S01
MMP17	4	11.11111111111111	THR39_1362_S01, THR39_1371_S01, THR31_1386_S01, THR39_1372_S01
MMP23A	8	22.22222222222222	TCGA-DX-AB3B-01, TCGA-MJ-A850-01, TCGA-DX-A7EO-01, TCGA-Z4-AAPF-01, THR39_1362_S01, THR39_1364_S01, THR39_1377_S01, TH27_0976_S01
MMP23B	14	38.88888888888889	TCGA-DX-AB3B-01, TCGA-DX-A7EO-01, TCGA-DX-AB3C-01, TCGA-Z4-AAPF-01, THR39_1362_S01, THR39_1370_S01, THR39_1375_S01, THR39_1376_S01, THR39_1377_S01, THR31_1392_S01, THR39_1369_S01, THR39_1372_S01, THR39_1378_S01, TCGA-DX-A7EQ-01
MN1	5	13.88888888888889	TCGA-DX-AB3B-01, THR39_1360_S01, THR31_1386_S01, THR39_1368_S01, THR39_1369_S01
MON2	4	11.11111111111111	THR39_1371_S01, THR39_1368_S01, THR39_1369_S01, THR39_1372_S01
MORF4L1	5	13.88888888888889	TH03_0112_S01, TH03_0112_S02, THR31_1386_S01, THR31_1392_S01, TH27_0976_S01
MSLN	4	11.11111111111111	TCGA-DX-A7EO-01, THR39_1365_S01, THR39_1377_S01, TCGA-DX-A7EQ-01
MSX1	8	22.22222222222222	TH03_0112_S02, THR39_1361_S01, THR39_1365_S01, THR39_1375_S01, THR31_1386_S01, TH27_0976_S01, THR39_1369_S01, TCGA-DX-A7EQ-01
MSX2	9	25	TCGA-DX-AB3B-01, TCGA-X6-A8C7-01, THR39_1361_S01, THR39_1362_S01, THR39_1365_S01, THR39_1375_S01, THR39_1377_S01, TH27_0976_S01, THR39_1369_S01
MTERF1	8	22.22222222222222	TCGA-FX-A8OO-01, TH03_0112_S02, THR39_1363_S01, THR39_1366_S01, THR39_1370_S01, THR39_1376_S01, THR39_1368_S01, THR39_1374_S01
NAALADL1	9	25	TCGA-DX-AB3B-01, TCGA-X6-A8C7-01, TCGA-DX-A7ER-01, TCGA-DX-AB3C-01, TH03_0112_S01, TH03_0112_S02, THR39_1366_S01, THR39_1373_S01, TH27_0976_S01
NAP1L1	5	13.88888888888889	TCGA-WK-A8XT-01, THR39_1363_S01, THR39_1376_S01, THR39_1368_S01, THR39_1374_S01
NDNF	4	11.11111111111111	THR39_1361_S01, THR39_1363_S01, THR39_1370_S01, THR39_1375_S01
NEFH	4	11.11111111111111	TCGA-FX-A8OO-01, THR39_1363_S01, THR31_1392_S01, THR39_1374_S01
NELL1	6	16.666666666666664	TCGA-X6-A8C7-01, TH03_0112_S01, TH03_0112_S02, THR39_1361_S01, THR39_1365_S01, THR39_1375_S01
NFATC4	5	13.88888888888889	TCGA-DX-A7EO-01, TCGA-DX-A7ER-01, TH03_0156_S01, THR39_1378_S01, TCGA-DX-A7EQ-01
NFYC	5	13.88888888888889	TCGA-X6-A8C7-01, TH03_0112_S01, TH03_0112_S02, THR39_1364_S01, THR31_1386_S01
NGF	6	16.666666666666664	TCGA-DX-AB3C-01, TH03_0112_S01, TH03_0112_S02, THR39_1364_S01, THR39_1366_S01, THR39_1378_S01
NGFR	4	11.11111111111111	TCGA-FX-A8OO-01, TH03_0112_S02, THR39_1367_S01, THR39_1371_S01
NKD2	8	22.22222222222222	TH03_0112_S02, THR39_1362_S01, THR39_1363_S01, THR39_1364_S01, THR39_1377_S01, THR31_1386_S01, THR39_1372_S01, THR39_1374_S01
NKX3-2	8	22.22222222222222	TCGA-DX-AB3B-01, TCGA-DX-A7ER-01, TH03_0112_S01, TH03_0112_S02, THR39_1360_S01, THR39_1367_S01, THR39_1369_S01, THR39_1372_S01
NLGN2	4	11.11111111111111	THR39_1360_S01, THR39_1371_S01, TH27_0976_S01, THR39_1368_S01
NNAT	12	33.33333333333333	TCGA-DX-AB3B-01, TCGA-WK-A8XT-01, TH03_0112_S01, TH03_0112_S02, THR39_1360_S01, THR39_1361_S01, THR39_1363_S01, THR39_1364_S01, THR39_1373_S01, THR31_1386_S01, THR39_1368_S01, THR39_1374_S01
NOB1	5	13.88888888888889	TCGA-FX-A8OO-01, TCGA-WK-A8XT-01, THR39_1363_S01, THR39_1370_S01, THR31_1393_S01
NOTUM	16	44.44444444444444	TCGA-MJ-A850-01, TCGA-DX-A7EO-01, TCGA-WK-A8XT-01, TCGA-Z4-AAPF-01, TH03_0112_S01, TH03_0112_S02, THR39_1362_S01, THR39_1363_S01, THR39_1364_S01, THR39_1365_S01, THR39_1366_S01, THR39_1371_S01, THR39_1377_S01, THR31_1392_S01, THR39_1374_S01, TCGA-DX-A7EQ-01
NPTX2	17	47.22222222222222	TCGA-DX-AB3B-01, TCGA-MJ-A850-01, TCGA-X6-A8C7-01, TH03_0112_S01, TH03_0112_S02, THR39_1361_S01, THR39_1362_S01, THR39_1365_S01, THR39_1366_S01, THR39_1367_S01, THR39_1370_S01, THR39_1371_S01, THR39_1376_S01, THR39_1377_S01, TH03_0156_S01, TH27_0976_S01, THR39_1372_S01
NPW	6	16.666666666666664	TCGA-DX-A7EO-01, TCGA-DX-A7ER-01, THR39_1376_S01, THR31_1393_S01, THR39_1374_S01, TCGA-DX-A7EQ-01
NR2F1	8	22.22222222222222	THR39_1363_S01, THR39_1364_S01, THR39_1370_S01, THR39_1373_S01, THR39_1376_S01, THR31_1393_S01, TH03_0156_S01, THR39_1374_S01
NR2F2	18	50	TCGA-FX-A8OO-01, TCGA-WK-A8XT-01, TH03_0112_S01, TH03_0112_S02, THR39_1363_S01, THR39_1364_S01, THR39_1366_S01, THR39_1367_S01, THR39_1370_S01, THR39_1371_S01, THR39_1373_S01, THR39_1376_S01, THR31_1386_S01, THR31_1392_S01, THR31_1393_S01, THR39_1368_S01, THR39_1372_S01, THR39_1374_S01
NRP2	5	13.88888888888889	THR39_1366_S01, THR39_1367_S01, THR39_1371_S01, THR31_1386_S01, THR31_1392_S01
NSMF	4	11.11111111111111	TH03_0112_S01, TH03_0112_S02, THR39_1364_S01, THR31_1386_S01
NTN1	4	11.11111111111111	TH03_0112_S01, THR39_1367_S01, THR31_1386_S01, THR39_1368_S01
NTNG2	14	38.88888888888889	TCGA-FX-A8OO-01, TCGA-WK-A8XT-01, TCGA-Z4-AAPF-01, TH03_0112_S01, TH03_0112_S02, THR39_1360_S01, THR39_1370_S01, THR39_1373_S01, THR39_1376_S01, THR31_1386_S01, THR31_1393_S01, THR39_1368_S01, THR39_1369_S01, THR39_1372_S01
OGN	12	33.33333333333333	TH03_0112_S02, THR39_1361_S01, THR39_1363_S01, THR39_1364_S01, THR39_1366_S01, THR39_1367_S01, THR39_1371_S01, THR39_1375_S01, THR39_1376_S01, THR39_1377_S01, THR31_1392_S01, THR39_1374_S01
OGT	7	19.444444444444446	THR39_1370_S01, THR39_1373_S01, THR39_1376_S01, TH03_0156_S01, THR39_1368_S01, THR39_1369_S01, THR39_1372_S01
OLFML1	16	44.44444444444444	TCGA-FX-A8OO-01, TCGA-WK-A8XT-01, TH03_0112_S01, THR39_1363_S01, THR39_1364_S01, THR39_1366_S01, THR39_1370_S01, THR39_1373_S01, THR39_1376_S01, THR39_1377_S01, THR31_1386_S01, THR31_1392_S01, THR31_1393_S01, TH03_0156_S01, TH27_0976_S01, THR39_1374_S01
OSR1	17	47.22222222222222	TCGA-MJ-A850-01, TCGA-DX-A7EO-01, TCGA-DX-A7ER-01, TCGA-FX-A8OO-01, TCGA-WK-A8XT-01, THR39_1360_S01, THR39_1363_S01, THR39_1364_S01, THR39_1367_S01, THR39_1370_S01, THR39_1373_S01, THR39_1376_S01, THR31_1386_S01, THR31_1392_S01, TH03_0156_S01, THR39_1368_S01, THR39_1374_S01
OSR2	10	27.77777777777778	TCGA-Z4-AAPF-01, THR39_1363_S01, THR39_1364_S01, THR39_1370_S01, THR31_1386_S01, TH03_0156_S01, THR39_1368_S01, THR39_1369_S01, THR39_1374_S01, TCGA-DX-A7EQ-01
OVOS2	9	25	TCGA-DX-A7EO-01, TCGA-Z4-AAPF-01, THR39_1360_S01, THR39_1362_S01, THR39_1371_S01, THR39_1373_S01, THR39_1368_S01, THR39_1369_S01, THR39_1372_S01
PAMR1	12	33.33333333333333	TCGA-DX-AB3B-01, TCGA-DX-A7ER-01, TCGA-WK-A8XT-01, TH03_0112_S01, TH03_0112_S02, THR39_1360_S01, THR39_1361_S01, THR39_1366_S01, THR39_1367_S01, THR39_1373_S01, THR31_1393_S01, TH03_0156_S01
PAX3	5	13.88888888888889	TCGA-X6-A8C7-01, TCGA-DX-A7EO-01, THR39_1365_S01, THR39_1375_S01, TH27_0976_S01
PAX7	5	13.88888888888889	TCGA-X6-A8C7-01, THR39_1365_S01, THR39_1375_S01, THR39_1377_S01, THR39_1369_S01
PCDHB10	4	11.11111111111111	TH03_0112_S02, THR39_1367_S01, THR39_1377_S01, THR39_1368_S01
PCDHB2	12	33.33333333333333	TCGA-DX-AB3B-01, TCGA-X6-A8C7-01, TH03_0112_S02, THR39_1361_S01, THR39_1362_S01, THR39_1364_S01, THR39_1365_S01, THR39_1375_S01, THR31_1392_S01, TH27_0976_S01, THR39_1368_S01, THR39_1372_S01
PCDHGA5	5	13.88888888888889	TCGA-WK-A8XT-01, THR31_1386_S01, THR31_1392_S01, THR39_1368_S01, THR39_1372_S01
PDGFRA	11	30.555555555555557	TCGA-WK-A8XT-01, THR39_1361_S01, THR39_1363_S01, THR39_1366_S01, THR39_1367_S01, THR39_1370_S01, THR39_1376_S01, THR31_1386_S01, THR31_1392_S01, THR39_1368_S01, THR39_1374_S01
PDZD4	22	61.111111111111114	TCGA-MJ-A850-01, TCGA-X6-A8C7-01, TCGA-DX-A7EO-01, TCGA-DX-A7ER-01, TCGA-DX-AB3C-01, TCGA-WK-A8XT-01, TH03_0112_S01, TH03_0112_S02, THR39_1360_S01, THR39_1362_S01, THR39_1365_S01, THR39_1366_S01, THR39_1371_S01, THR39_1375_S01, THR39_1377_S01, THR31_1386_S01, TH27_0976_S01, THR39_1368_S01, THR39_1369_S01, THR39_1372_S01, THR39_1378_S01, TCGA-DX-A7EQ-01
PHF23	4	11.11111111111111	TH03_0112_S01, THR39_1371_S01, TH27_0976_S01, THR39_1372_S01
PIGC	10	27.77777777777778	TCGA-X6-A8C7-01, TCGA-DX-A7EO-01, TCGA-FX-A8OO-01, THR39_1364_S01, THR39_1370_S01, THR39_1376_S01, THR31_1386_S01, TH03_0156_S01, THR39_1368_S01, THR39_1372_S01
PLAGL1	5	13.88888888888889	TCGA-DX-AB3B-01, TCGA-X6-A8C7-01, TH03_0156_S01, THR39_1368_S01, THR39_1369_S01
PNISR	4	11.11111111111111	THR39_1375_S01, THR39_1376_S01, THR39_1368_S01, THR39_1369_S01
PNMA5	6	16.666666666666664	THR39_1363_S01, THR39_1364_S01, THR39_1366_S01, THR31_1393_S01, THR39_1372_S01, THR39_1374_S01
PP7080	8	22.22222222222222	TCGA-X6-A8C7-01, TCGA-DX-A7EO-01, THR39_1362_S01, THR39_1365_S01, THR39_1376_S01, THR39_1377_S01, THR39_1368_S01, THR39_1372_S01
PPWD1	7	19.444444444444446	THR39_1371_S01, THR39_1373_S01, THR39_1375_S01, THR39_1376_S01, THR39_1377_S01, THR39_1368_S01, THR39_1369_S01
PRKD3	4	11.11111111111111	THR39_1363_S01, THR39_1370_S01, TH27_0976_S01, THR39_1374_S01
PRPH	15	41.66666666666667	TCGA-MJ-A850-01, TCGA-DX-A7ER-01, TCGA-DX-AB3C-01, TCGA-WK-A8XT-01, THR39_1361_S01, THR39_1362_S01, THR39_1365_S01, THR39_1367_S01, THR39_1370_S01, THR39_1373_S01, THR39_1376_S01, THR39_1377_S01, THR31_1393_S01, TH03_0156_S01, THR39_1374_S01
PRRT1	4	11.11111111111111	TCGA-DX-AB3B-01, TCGA-DX-A7ER-01, THR31_1386_S01, THR39_1368_S01
PRRT2	7	19.444444444444446	THR39_1360_S01, THR39_1366_S01, THR39_1370_S01, THR39_1373_S01, THR39_1376_S01, TH03_0156_S01, THR39_1368_S01
PRRX2	4	11.11111111111111	TCGA-MJ-A850-01, TH03_0112_S01, THR31_1386_S01, TH27_0976_S01
PTCH1	10	27.77777777777778	TCGA-WK-A8XT-01, TH03_0112_S02, THR39_1362_S01, THR39_1366_S01, THR39_1367_S01, THR39_1371_S01, THR39_1373_S01, THR39_1377_S01, THR31_1386_S01, THR31_1393_S01
PTH1R	9	25	TCGA-MJ-A850-01, TCGA-DX-A7ER-01, TCGA-FX-A8OO-01, TH03_0112_S02, THR39_1364_S01, THR39_1366_S01, TH27_0976_S01, THR39_1378_S01, TCGA-DX-A7EQ-01
RAB28	4	11.11111111111111	TCGA-DX-AB3B-01, TH03_0112_S02, THR39_1367_S01, THR39_1372_S01
RASL11B	25	69.44444444444444	TCGA-DX-AB3B-01, TCGA-MJ-A850-01, TCGA-X6-A8C7-01, TCGA-DX-A7ER-01, TCGA-FX-A8OO-01, TCGA-WK-A8XT-01, TH03_0112_S01, TH03_0112_S02, THR39_1360_S01, THR39_1361_S01, THR39_1363_S01, THR39_1364_S01, THR39_1366_S01, THR39_1370_S01, THR39_1375_S01, THR39_1376_S01, THR39_1377_S01, THR31_1386_S01, THR31_1392_S01, THR31_1393_S01, TH03_0156_S01, TH27_0976_S01, THR39_1368_S01, THR39_1374_S01, TCGA-DX-A7EQ-01
RBFOX2	20	55.55555555555556	TCGA-X6-A8C7-01, THR39_1360_S01, THR39_1361_S01, THR39_1363_S01, THR39_1364_S01, THR39_1366_S01, THR39_1367_S01, THR39_1370_S01, THR39_1371_S01, THR39_1373_S01, THR39_1375_S01, THR39_1376_S01, THR31_1386_S01, THR31_1392_S01, THR31_1393_S01, TH03_0156_S01, TH27_0976_S01, THR39_1368_S01, THR39_1369_S01, THR39_1374_S01
RBFOX3	13	36.11111111111111	TCGA-X6-A8C7-01, TCGA-FX-A8OO-01, TCGA-WK-A8XT-01, TH03_0112_S01, TH03_0112_S02, THR39_1360_S01, THR39_1364_S01, THR39_1371_S01, TH03_0156_S01, THR39_1368_S01, THR39_1369_S01, THR39_1372_S01, THR39_1378_S01
RBMX	9	25	TCGA-WK-A8XT-01, THR39_1363_S01, THR39_1364_S01, THR39_1370_S01, THR39_1371_S01, THR39_1376_S01, THR39_1368_S01, THR39_1369_S01, THR39_1374_S01
RBMX2	8	22.22222222222222	TH03_0112_S01, TH03_0112_S02, THR39_1364_S01, THR39_1370_S01, THR39_1368_S01, THR39_1369_S01, THR39_1374_S01, THR39_1378_S01
RCBTB2	7	19.444444444444446	THR39_1360_S01, THR39_1364_S01, THR39_1366_S01, THR39_1367_S01, THR39_1371_S01, THR39_1368_S01, THR39_1374_S01
RGS3	10	27.77777777777778	TCGA-DX-AB3B-01, TCGA-MJ-A850-01, TCGA-DX-A7ER-01, TCGA-Z4-AAPF-01, THR39_1360_S01, THR39_1367_S01, THR39_1371_S01, THR39_1373_S01, TH03_0156_S01, TH27_0976_S01
RHOJ	4	11.11111111111111	THR39_1364_S01, THR39_1371_S01, TH03_0156_S01, THR39_1369_S01
RNF212	26	72.22222222222221	TCGA-DX-AB3B-01, TCGA-MJ-A850-01, TCGA-X6-A8C7-01, TCGA-DX-A7ER-01, TCGA-DX-AB3C-01, TH03_0112_S01, TH03_0112_S02, THR39_1360_S01, THR39_1361_S01, THR39_1363_S01, THR39_1364_S01, THR39_1365_S01, THR39_1366_S01, THR39_1370_S01, THR39_1371_S01, THR39_1373_S01, THR39_1375_S01, THR39_1377_S01, THR31_1386_S01, TH03_0156_S01, TH27_0976_S01, THR39_1368_S01, THR39_1369_S01, THR39_1372_S01, THR39_1374_S01, THR39_1378_S01
